half_sat,p_managed,fr_spring,fr_summer,fr_autumn,fr_winter,n_cavity,n_stem,n_ground,p_dep,p_abund,pdep_y_w,y_tot,y_wild
0.01,0.33,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.99,0.162381,0.670000,1.000000,0.663300
0.01,0.33,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.01,0.215598,0.670000,1.000000,0.006700
0.01,0.33,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.33,0.215598,0.670000,1.000000,0.221100
0.01,0.33,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.66,0.215598,0.670000,1.000000,0.442200
0.01,0.33,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.99,0.215598,0.670000,1.000000,0.663300
0.01,0.33,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.01,0.268815,0.670000,1.000000,0.006700
0.01,0.33,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.33,0.268815,0.670000,1.000000,0.221100
0.01,0.33,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.66,0.268815,0.670000,1.000000,0.442200
0.01,0.33,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.268815,0.670000,1.000000,0.663300
0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.002638,0.147437,0.998074,0.001474
0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.002638,0.147437,0.936454,0.048654
0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.002638,0.147437,0.872908,0.097308
0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.002638,0.147437,0.809362,0.145962
0.01,0.66,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.01,0.003373,0.185562,0.998456,0.001856
0.01,0.66,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.33,0.003373,0.185562,0.949035,0.061235
0.01,0.66,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.66,0.003373,0.185562,0.898071,0.122471
0.01,0.66,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.99,0.003373,0.185562,0.847106,0.183706
0.01,0.66,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.01,0.004131,0.221253,0.998813,0.002213
0.01,0.66,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.33,0.004131,0.221253,0.960813,0.073013
0.01,0.66,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.66,0.004131,0.221253,0.921627,0.146027
0.01,0.66,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.99,0.004131,0.221253,0.882440,0.219040
0.01,0.66,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.01,0.004889,0.253780,0.999138,0.002538
0.01,0.66,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.33,0.004889,0.253780,0.971547,0.083747
0.01,0.66,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.66,0.004889,0.253780,0.943095,0.167495
0.01,0.66,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.99,0.004889,0.253780,0.914642,0.251242
0.01,0.66,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.01,0.046114,0.340000,1.000000,0.003400
0.01,0.66,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.33,0.046114,0.340000,1.000000,0.112200
0.01,0.66,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.66,0.046114,0.340000,1.000000,0.224400
0.01,0.66,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.99,0.046114,0.340000,1.000000,0.336600
0.01,0.66,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.01,0.063422,0.340000,1.000000,0.003400
0.01,0.66,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.063422,0.340000,1.000000,0.112200
0.01,0.66,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.66,0.063422,0.340000,1.000000,0.224400
0.01,0.66,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.99,0.063422,0.340000,1.000000,0.336600
0.01,0.66,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.01,0.081269,0.340000,1.000000,0.003400
0.01,0.66,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.33,0.081269,0.340000,1.000000,0.112200
0.01,0.66,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.66,0.081269,0.340000,1.000000,0.224400
0.01,0.66,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.99,0.081269,0.340000,1.000000,0.336600
0.01,0.66,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.01,0.099117,0.340000,1.000000,0.003400
0.01,0.66,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.33,0.099117,0.340000,1.000000,0.112200
0.01,0.66,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.66,0.099117,0.340000,1.000000,0.224400
0.01,0.66,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.99,0.099117,0.340000,1.000000,0.336600
0.01,0.66,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.01,0.080888,0.340000,1.000000,0.003400
0.01,0.66,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.33,0.080888,0.340000,1.000000,0.112200
0.01,0.66,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.66,0.080888,0.340000,1.000000,0.224400
0.01,0.66,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.99,0.080888,0.340000,1.000000,0.336600
0.01,0.66,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.01,0.115306,0.340000,1.000000,0.003400
0.01,0.66,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.33,0.115306,0.340000,1.000000,0.112200
0.01,0.66,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.66,0.115306,0.340000,1.000000,0.224400
0.01,0.66,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.99,0.115306,0.340000,1.000000,0.336600
0.01,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.01,0.150800,0.340000,1.000000,0.003400
0.01,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.33,0.150800,0.340000,1.000000,0.112200
0.01,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.150800,0.340000,1.000000,0.224400
0.01,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.99,0.150800,0.340000,1.000000,0.336600
0.01,0.66,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.01,0.186293,0.340000,1.000000,0.003400
0.01,0.66,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.33,0.186293,0.340000,1.000000,0.112200
0.01,0.66,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.66,0.186293,0.340000,1.000000,0.224400
0.01,0.66,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.99,0.186293,0.340000,1.000000,0.336600
0.01,0.66,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.01,0.110776,0.340000,1.000000,0.003400
0.01,0.66,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.33,0.110776,0.340000,1.000000,0.112200
0.01,0.66,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.66,0.110776,0.340000,1.000000,0.224400
0.01,0.66,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.99,0.110776,0.340000,1.000000,0.336600
0.01,0.66,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.01,0.162381,0.340000,1.000000,0.003400
0.01,0.66,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.33,0.162381,0.340000,1.000000,0.112200
0.01,0.66,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.66,0.162381,0.340000,1.000000,0.224400
0.01,0.66,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.99,0.162381,0.340000,1.000000,0.336600
0.01,0.66,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.01,0.215598,0.340000,1.000000,0.003400
0.01,0.66,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.33,0.215598,0.340000,1.000000,0.112200
0.01,0.66,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.66,0.215598,0.340000,1.000000,0.224400
0.01,0.66,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.99,0.215598,0.340000,1.000000,0.336600
0.01,0.66,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.01,0.268815,0.340000,1.000000,0.003400
0.01,0.66,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.33,0.268815,0.340000,1.000000,0.112200
0.01,0.66,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.66,0.268815,0.340000,1.000000,0.224400
0.01,0.66,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.268815,0.340000,1.000000,0.336600
0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.002638,0.010000,1.000000,0.000100
0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.002638,0.010000,1.000000,0.003300
0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.002638,0.010000,1.000000,0.006600
0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.002638,0.010000,1.000000,0.009900
0.01,0.99,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.01,0.003373,0.010000,1.000000,0.000100
0.01,0.99,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.33,0.003373,0.010000,1.000000,0.003300
0.01,0.99,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.66,0.003373,0.010000,1.000000,0.006600
0.01,0.99,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.99,0.003373,0.010000,1.000000,0.009900
0.01,0.99,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.01,0.004131,0.010000,1.000000,0.000100
0.01,0.99,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.33,0.004131,0.010000,1.000000,0.003300
0.01,0.99,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.66,0.004131,0.010000,1.000000,0.006600
0.01,0.99,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.99,0.004131,0.010000,1.000000,0.009900
0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.01,0.004889,0.010000,1.000000,0.000100
0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.33,0.004889,0.010000,1.000000,0.003300
0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.66,0.004889,0.010000,1.000000,0.006600
0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.99,0.004889,0.010000,1.000000,0.009900
0.01,0.99,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.01,0.046114,0.010000,1.000000,0.000100
0.01,0.99,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.33,0.046114,0.010000,1.000000,0.003300
0.01,0.99,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.66,0.046114,0.010000,1.000000,0.006600
0.01,0.99,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.99,0.046114,0.010000,1.000000,0.009900
